Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
50-50-omnivore-blend-insects-for-bearded-dragons-blue-tongued-skinks,25/25/50 Omnivore blend + Insects for Bearded Dragons & Blue-tongued Skinks,"<p>These links are specially formulated for adult and subadult Bearded Dragons and blue-tongued skinks (BTS) they contain 50% vegetable matter (no fruit), 25% insects, and 25% lean rabbit. They are also suitable for many other omnivore species!</p>
<p>Ingredients: Insects (<span>hisser roaches, crickets, superworms), </span>Rabbit (Ohio raised New Zealand white or California white breed, includes entire carcass) organic green beans, collard greens, dandelion greens, endive, 100% natural collagen casing.</p>",vendor-unknown,,"Bearded dragon, Blue tongue skink, insect, Omnivore, spo-disabled",TRUE,Link Size,8-12 g (40 links),,,,,RL25/25/50,0,,continue,manual,36.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2342/8803/products/bearded_dragon_food_blend_insects.png?v=1585264002,1,,FALSE,,"1/2 kg bundle, contains 50 links each weighing&nbsp;8-12 grams.",,,,,,,,,,,,,,,lb,,
hooded-sweatshirt,Hooded Sweatshirt,"Everyone needs a go-to, cozy sweatshirt to curl up in, so go for one that's soft, smooth, and stylish. It's also perfect for cooler evenings!<br> <br> • 50% cotton/50% polyester <br> • Reduced pilling and softer air-jet spun yarn <br> • Double-lined hood<br> • 1x1 athletic rib knit cuffs and waistband with spandex<br> • Double-needle stitching throughout <br> • Front pouch pocket <br>
<p><strong>Size guide</strong></p>
<div class=""table-responsive dynamic"" data-unit-system=""imperial"">
<table cellpadding=""5"">
<tbody>
<tr>
<td> </td>
<td><strong>S</strong></td>
<td><strong>M</strong></td>
<td><strong>L</strong></td>
<td><strong>XL</strong></td>
<td><strong>2XL</strong></td>
<td><strong>3XL</strong></td>
<td><strong>4XL</strong></td>
<td><strong>5XL</strong></td>
</tr>
<tr>
<td><strong>Length (inches)</strong></td>
<td>26</td>
<td>27</td>
<td>28</td>
<td>29</td>
<td>30</td>
<td>31</td>
<td>32</td>
<td>33</td>
</tr>
<tr>
<td><strong>Width (inches)</strong></td>
<td>20</td>
<td>22</td>
<td>24</td>
<td>26</td>
<td>28</td>
<td>30</td>
<td>32</td>
<td>34</td>
</tr>
</tbody>
</table>
</div>",Reptilinks,,spo-disabled,TRUE,Color,White,Size,S,,,'2794774,454,,deny,printful,35.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,1,Hooded Sweatshirt - Reptilinks,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,White,,M,,,'2048776,468,,deny,printful,35.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,2,Hooded Sweatshirt - Reptilinks,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,White,,L,,,'5749068,567,,deny,printful,35.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,3,Hooded Sweatshirt - Reptilinks,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,White,,XL,,,'4657320,618,,deny,printful,35.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-079b2992.jpg?v=1553484864,4,Hooded Sweatshirt - Reptilinks,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,White,,2XL,,,'8177726,638,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,White,,3XL,,,'9660491,714,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,White,,4XL,,,'5462393,726,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,White,,5XL,,,'3164323,746,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-09288d20.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Black,,S,,,'2276668,454,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Black,,M,,,'8132243,468,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Black,,L,,,'6905357,567,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Black,,XL,,,'1657960,618,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Black,,2XL,,,'3872668,638,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Black,,3XL,,,'5868724,714,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Black,,4XL,,,'4948348,726,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Black,,5XL,,,'8712556,746,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0dac8615.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Navy,,S,,,'5271677,454,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Navy,,M,,,'1631819,468,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Navy,,L,,,'2909131,567,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Navy,,XL,,,'9801121,618,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Navy,,2XL,,,'4201959,638,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Navy,,3XL,,,'1919134,714,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Navy,,4XL,,,'9377637,726,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Navy,,5XL,,,'5325972,746,,deny,printful,37.50,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-809b0bff.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Sport Grey,,S,,,'6573542,454,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-079b2992.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Sport Grey,,M,,,'3854846,468,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-079b2992.jpg?v=1553484864,oz,,
hooded-sweatshirt,,,,,,,,Sport Grey,,L,,,'1701255,567,,deny,printful,35.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-079b2992.jpg?v=1553484864,oz,,
